STATION,NAME,BEGIN_LAT,BEGIN_LON,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,Zip
USC00150630,"BERNHEIM FOREST, KY US",37.9161,-85.6572,167.6,2015-01-14,0.0,0.0,0.0,0.0,36.0,25.0,0.0,0.0,0.0,0.0,40110
USC00154958,"LOUISVILLE WEATHER FORECAST OFFICE, KY US",38.1151,-85.6445,192.6,2015-01-14,0.0,0.0,0.0,0.0,32.0,25.0,0.0,0.0,0.0,0.0,40229
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",38.17738,-85.73077,146.3,2015-01-14,4.7,0.0,0.0,0.0,34.0,26.0,280.0,280.0,12.1,13.0,40209
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23021,-85.66294,164.6,2015-01-15,5.37,0.0,0.0,0.0,37.0,28.0,210.0,200.0,13.0,15.0,40041
USC00154955,"LOUISVILLE MCALPINE, KY US",38.2778,-85.7918,134.1,2015-01-15,0.0,0.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,0.0,40212
USC00150630,"BERNHEIM FOREST, KY US",37.9161,-85.6572,167.6,2015-01-15,0.0,0.0,0.0,0.0,35.0,26.0,0.0,0.0,0.0,0.0,40110
USC00154958,"LOUISVILLE WEATHER FORECAST OFFICE, KY US",38.1151,-85.6445,192.6,2015-01-15,0.0,0.0,0.0,0.0,37.0,27.0,0.0,0.0,0.0,0.0,40229
USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",38.17738,-85.73077,146.3,2015-01-15,6.26,0.0,0.0,0.0,39.0,29.0,240.0,230.0,13.0,18.1,40209
USW00013810,"LOUISVILLE BOWMAN FIELD, KY US",38.23021,-85.66294,164.6,2015-01-16,2.01,0.0,0.0,0.0,46.0,24.0,220.0,220.0,8.1,11.0,40041
USC00154955,"LOUISVILLE MCALPINE, KY US",38.2778,-85.7918,134.1,2015-01-16,0.0,0.0,0.0,0.0,38.0,28.0,0.0,0.0,0.0,0.0,40212
